date,slot,phi_SB2,phi_BS2,n_B
20451,open_1430_30,0.02191494497494934,0.022538008695176078,31989
20451,plac30_h2,0.004839983384909452,0.015123103831990767,12914
20451,plac30_h5,0.020049347016498947,0.011658027569499982,6184
20451,plac30_h8,0.04429216137890889,0.03330529402397334,9638
20451,plac30_h20,0.011998798201620012,0.005911751780397325,8044
20451,plac30_h23,3.059023205018258e-07,3.893038300928787e-07,2983
20452,open_1430_60,0.030142293781700025,0.04167106013512723,58985
20452,open_1430_30,0.02607523820293355,0.039337212362949146,36004
20452,plac30_h2,0.013327938095632718,0.01934525551998036,9393
20452,plac30_h5,0.006945795884715686,0.0011524668868621848,4138
20452,plac30_h8,0.008966878755902298,0.011461074377952404,7568
20452,plac30_h20,0.008997834666956977,0.0028971240796643967,6207
20452,plac30_h23,0.00392703867725465,0.002878234281460658,3010
20453,open_1430_60,0.05106813159672546,0.06545593115185165,50819
20453,open_1430_30,0.017690561638175884,0.012748946454316741,22784
20453,plac30_h2,0.004581993144794084,0.033549448775202405,5090
20453,plac30_h5,0.014299234714016817,0.043208294856206454,3524
20453,plac30_h8,0.01074057828717081,0.00991116154933262,4808
20453,plac30_h20,0.02141637102583026,0.006151838056014123,11684
20453,plac30_h23,2.4462043381124e-05,0.007933390826136665,3113
20454,open_1430_60,0.01280834809863596,0.01398901343120627,10294
20454,open_1430_30,0.0014943800790655991,0.007445981083542758,4749
20454,plac30_h2,0.0010006248365777837,0.0016915004417852445,3497
20454,plac30_h5,0.0011530478927016454,0.011789925177929247,5127
20454,plac30_h8,0.00011024121970260315,0.00013939043231660976,3522
20454,plac30_h20,0.0047012655226656664,0.00011804740691759909,2822
20454,plac30_h23,0.0016941895459765433,0.015730118496330405,5985
20455,open_1430_60,0.02979522560299717,0.016855864098383147,88924
20455,open_1430_30,0.022250934526410786,0.020826452887460403,53587
20455,plac30_h2,0.0003155147789993211,0.012659694192404095,5250
20455,plac30_h5,0.00014139444491536712,0.008238945743765476,4422
20455,plac30_h8,0.00038560157061167673,0.011095648999407966,7588
20455,plac30_h20,0.010124093770453658,0.005504996145092332,8308
20455,plac30_h23,0.025699412245815643,0.0016336939962398437,4779
20456,open_1430_60,0.0040696902077049825,0.01588381442957024,9613
20456,open_1430_30,0.002403905665673494,0.008109015123424441,5497
20456,plac30_h2,0.02233628573348281,0.010107091954001881,5455
20456,plac30_h5,0.02810659447549965,0.0278796771402863,5374
20456,plac30_h8,0.02498431816834353,0.0013128618993310892,6030
20456,plac30_h20,0.0012807117000910048,0.01924634832732414,6244
20456,plac30_h23,0.000671049707741791,0.007330469218042134,3867
20457,open_1430_60,0.002518097736784514,0.0002036501302031709,11164
20457,open_1430_30,0.0056396220891897575,0.0015014594807441386,6493
20457,plac30_h2,0.008267344555514686,0.005758488362434536,5004
20457,plac30_h5,0.004921544982435024,0.00431504377810632,3629
20457,plac30_h8,0.0023197997466760305,0.016209551784575185,6144
20457,plac30_h20,0.0034053134546556487,0.0004221575901164628,3344
20457,plac30_h23,0.007291609162459447,0.007012229694400192,9042
20458,open_1430_60,0.0014822077658940155,0.01360469871461299,77304
20458,open_1430_30,0.01042988968083443,0.022112593753994637,48661
20458,plac30_h2,0.006515530476566303,0.006716617686757726,10464
20458,plac30_h5,0.00690976685550477,0.0018895851705537222,6380
20458,plac30_h8,0.0027169283442822407,0.006655307421465525,5156
20458,plac30_h20,0.005228239348898387,0.001493809633050958,14598
20458,plac30_h23,0.0040982390403800075,0.003949884432890663,6155
20459,open_1430_60,0.01187877350820312,0.0016231338993466784,57512
20459,open_1430_30,0.017010038402623936,0.010606230122752669,32305
20459,plac30_h2,0.009255089268649477,0.001028564082607608,7179
20459,plac30_h5,0.014469813458216003,0.0038776870471597075,5567
20459,plac30_h8,0.0063902583351071185,0.004854680493016766,6150
20459,plac30_h20,0.019115980870943638,0.012676190847565244,8039
20459,plac30_h23,0.012712543433055223,0.029511846185522436,7206
20460,open_1430_60,0.022665086326068135,0.024367949999398772,65530
20460,open_1430_30,0.02095218777587018,0.018506131723803516,32791
20460,plac30_h2,0.01638614950039677,0.03093768413265122,9366
20460,plac30_h5,0.02749075441210873,0.02143687918033356,5709
20460,plac30_h8,0.018018835876301684,0.010844542980870835,4964
20460,plac30_h20,0.0008924128363737711,0.0005694695749730094,9585
20460,plac30_h23,0.03541000207929341,0.018643010991189916,7145
20461,open_1430_60,0.020501844275221302,0.015817523128190947,82147
20461,open_1430_30,0.014595062656609556,0.015475853137172436,45077
20461,plac30_h2,0.015885581309243946,0.006777451856365717,10666
20461,plac30_h5,0.01433329779419346,0.006067398400349384,5065
20461,plac30_h8,0.007829186714958636,0.04505276547957513,9729
20461,plac30_h20,0.02167374643651775,0.03728677434492367,10541
20461,plac30_h23,0.024805563264755907,0.03171904610454095,3959
20462,open_1430_60,0.02940440379876858,0.04103883024677048,80674
20462,open_1430_30,0.026356533888711037,0.0265348906539055,32283
20462,plac30_h2,0.026487850909405076,0.031845212161714584,4350
20462,plac30_h5,0.036922436397557705,0.0276310578312101,4598
20462,plac30_h8,0.04788494983643213,0.03092367541951481,19068
20462,plac30_h20,0.006573342572487788,0.0072893109837743756,7930
20462,plac30_h23,0.004618753834219904,0.00214595612397057,2233
20463,open_1430_60,0.0014722805334725037,0.01251345582359983,5386
20463,open_1430_30,0.0003908177366188789,0.017056221213950885,2124
20463,plac30_h2,0.004657559754539893,0.003760399103430294,2192
20463,plac30_h5,0.00012268400815438558,2.7777406868993634e-05,2054
20463,plac30_h8,3.059023205018258e-07,1.9671686928580965e-05,2279
20463,plac30_h20,4.1944134698047126e-05,1.3630472814020957e-05,2201
20463,plac30_h23,0.00789507880419041,0.01398493505515366,2735
20464,open_1430_60,0.007201424252751316,0.012961714691825768,13185
20464,open_1430_30,0.007804199374495795,0.020189166929247854,6888
20464,plac30_h2,0.0038577737849066402,0.029941120432031513,2354
20464,plac30_h5,0.028818182150753567,0.021608552744126493,2753
20464,plac30_h8,0.0013186492288280087,0.013944642186200666,3968
20464,plac30_h20,0.0008885659183565096,0.009634818636432075,5541
20464,plac30_h23,0.0018576052784913502,0.005002700119062847,6326
20465,open_1430_60,0.01431005604834085,0.020026977986503144,52259
20465,open_1430_30,0.02232135103354684,0.01801004696184768,31447
20465,plac30_h2,0.010478458396354725,0.033422896841618324,17116
20465,plac30_h5,0.004813335284958024,0.0064180382588863326,2744
20465,plac30_h8,0.0339428810758239,0.014545212791469348,21918
20465,plac30_h20,0.012345798256198097,0.008107302936393156,5483
20465,plac30_h23,0.001028267551857688,0.01287806812602722,3977
20466,open_1430_60,0.0255914175164116,0.028293121411541958,56842
20466,open_1430_30,0.023418978932989946,0.028044903622885933,32918
20466,plac30_h2,0.009981259925960738,0.0003070816547313012,3793
20466,plac30_h5,0.009226580727792017,0.01258407745155454,7904
20466,plac30_h8,0.0007595373136159702,0.01965579181204081,6792
20466,plac30_h20,0.02453702053004077,0.025110521507871512,18193
20466,plac30_h23,0.028499007914957464,0.032083975299816235,12576
20467,open_1430_60,0.0061565169610265985,0.039585492090724005,98894
20467,open_1430_30,0.024280727357264466,0.01960696399984882,55456
20467,plac30_h2,0.05306219189993419,0.03126685229164536,5902
20467,plac30_h5,0.02871433991938929,0.025615560270858893,8501
20467,plac30_h8,0.028600513117008643,0.031159428844726975,4837
20467,plac30_h20,0.004684424713605753,0.007417801383223725,15216
20467,plac30_h23,0.021401646078128524,0.0077781883048258955,5835
20468,open_1430_60,0.015986466424917394,0.016743757882352533,63892
20468,open_1430_30,0.030586079703375856,0.013831806226529478,37840
20468,plac30_h2,0.020057756238837623,0.016254928560923695,11191
20468,plac30_h5,0.00778730491336288,0.02169717410651797,6728
20468,plac30_h8,0.0005088535405635248,0.012974348579446878,10752
20468,plac30_h20,0.010547300334150073,0.01181565879192206,10177
20468,plac30_h23,0.0015644857136396476,0.0035104072256596838,3567
20469,open_1430_60,0.01617707759896816,0.008553833386604077,43429
20469,open_1430_30,0.007660679201717486,0.012320851921567667,18845
20469,plac30_h2,0.00848014630787875,0.008509660967388385,3961
20469,plac30_h5,0.006491343280184614,0.007064523315412537,11241
20469,plac30_h8,0.0014037020452955613,0.01885010265003397,5011
20469,plac30_h20,0.004170579321554122,0.015289319902964756,11612
20469,plac30_h23,5.955290721766858e-05,0.006462092523134028,3119
20470,open_1430_60,0.007875242332334975,0.02058584906345394,10584
20470,open_1430_30,0.0014019226906133607,0.012949040061151423,4407
20470,plac30_h2,0.024369654987628834,0.003446054746355129,3654
20470,plac30_h5,0.009628019779609096,0.02944303785419323,1984
20470,plac30_h8,0.0003338708863793976,0.015403820515885874,2931
20470,plac30_h20,3.7461323749996208e-06,4.7311820483679424e-06,2155
20470,plac30_h23,1.0958722164610627e-06,4.706578082864808e-06,2718
20471,open_1430_60,0.0029390870235154734,0.004422076440962447,9682
20471,open_1430_30,0.003242510108257859,0.0070666165968281845,4648
20471,plac30_h2,0.0005304324425593605,0.0009706234898587473,3749
20471,plac30_h5,0.0007187746691093342,0.005391598371345822,4166
20471,plac30_h8,8.673191649029499e-05,0.00607654342783182,3322
20471,plac30_h20,0.004841857128033057,1.9870321091764452e-05,2294
20471,plac30_h23,0.039439863833466045,0.030939272085169132,27010
20472,open_1430_60,0.02258665078929363,0.013820214736206489,18437
20472,open_1430_30,0.02158462270946998,0.010625721588974039,8728
20472,plac30_h2,0.008181790868218828,0.00877218854429778,7002
20472,plac30_h5,0.0005234429574749396,0.007935004575681574,6347
20472,plac30_h8,0.02401455323453682,0.024199507353966688,10367
20472,plac30_h20,0.02113049042462268,0.011505695438022987,3145
20472,plac30_h23,0.018340823573249156,0.02062281745177209,9169
20473,open_1430_60,0.029639194197321465,0.025597230104033215,88971
20473,open_1430_30,0.027761474375285457,0.03745660884415045,43033
20473,plac30_h2,0.02125033680096817,0.02064517466179284,6417
20473,plac30_h5,0.027699834400979388,0.023843819918365292,12303
20473,plac30_h8,0.03269295212860112,0.03803325591411061,21510
20473,plac30_h20,0.04700946796510518,0.03950974144474493,14088
20473,plac30_h23,0.04168894833474672,0.04487534901277967,14764
20474,open_1430_60,0.042254227220575584,0.036023338735311994,77260
20474,open_1430_30,0.04478897170238578,0.03018979182972159,41340
20474,plac30_h2,0.03871893351806496,0.03923186210937146,7770
20474,plac30_h5,0.035799601711094566,0.04075123361835282,13163
20474,plac30_h8,0.029963312917664003,0.038941073360195796,8182
20474,plac30_h20,0.024547332854499577,0.029130782492908503,20080
20474,plac30_h23,0.03645807115474804,0.01856197574552463,9781
20475,open_1430_60,0.04197931262154314,0.04987832556043698,71112
20475,open_1430_30,0.02920316251872366,0.032619438834344004,34977
20475,plac30_h2,0.039563478292149505,0.015726790350008457,7066
20475,plac30_h5,0.02072883700182366,0.03207772085638979,6069
20475,plac30_h8,0.031186079012634847,0.041100482188997575,6020
20475,plac30_h20,0.03911177307145663,0.045867183246728394,7587
20475,plac30_h23,0.022529549451715147,0.028796758217195878,4675
20476,open_1430_60,0.03790080513683141,0.056439275996623156,61202
20476,open_1430_30,0.027821307125079027,0.03436178105967884,33920
20476,plac30_h2,0.02507817815817313,0.03319906695220109,5201
20476,plac30_h5,0.023803849586311047,0.026915290080568414,7078
20476,plac30_h8,0.02260092732403107,0.03324493744982645,11710
20476,plac30_h20,0.02912498310359659,0.018415344378341986,19903
20476,plac30_h23,0.032857856016525196,0.030769597316297193,4467
20477,open_1430_60,0.027837788818255767,0.07215571739668067,8492
20477,open_1430_30,0.02000823438159968,0.021527464267084725,3960
20477,plac30_h2,0.015375479435175548,0.033913883772914113,3657
20477,plac30_h5,0.02331898531117594,0.026819804924826544,3337
20477,plac30_h8,0.006802454257881096,0.025332374388223656,4229
20477,plac30_h20,0.030035911149308692,5.29845915398768e-07,2166
20477,plac30_h23,0.030603310609874992,0.04451754052057806,2386
20478,open_1430_60,0.04587765691228912,0.027221480583354576,13595
20478,open_1430_30,0.03757235905436581,0.027598981393728336,6541
20478,plac30_h2,0.03699658009042777,0.04283781614529238,2998
20478,plac30_h5,0.04850937988169777,0.0298666427306696,4230
20478,plac30_h8,0.05164076952525948,0.023341645256421635,13848
20478,plac30_h20,0.0511749089166538,0.03450108783535165,16566
20478,plac30_h23,0.043676018002221026,0.04369303451775926,15623
20479,open_1430_60,0.03955338653270429,0.05353424963872824,68450
20479,open_1430_30,0.039091912225159856,0.038963405191931144,36691
20479,plac30_h2,0.03267298887353101,0.03988324276568132,11000
20479,plac30_h5,0.03028095172547013,0.024912630441375594,8099
20479,plac30_h8,0.035558107211686125,0.02871859508756446,5679
20479,plac30_h20,0.05057395009949861,0.03734095998718633,6951
20479,plac30_h23,0.05165687153272099,0.05119018599165081,6559
20480,open_1430_60,0.0357237457777527,0.04891713028939572,43098
20480,open_1430_30,0.028632442334247863,0.04296714564500024,22469
20480,plac30_h2,0.039223321194375285,0.04307922578143622,9449
20480,plac30_h5,0.02970933883221989,0.01983038081428794,4522
20480,plac30_h8,0.033557190403222324,0.034502128899709376,5595
20480,plac30_h20,0.0297304993541502,0.04314457399647613,19626
20480,plac30_h23,0.04221664679167863,0.04367708901269928,4835
20481,open_1430_60,0.043557223256443914,0.04788198737650075,49930
20481,open_1430_30,0.043762507974509604,0.054887750943579984,25319
20481,plac30_h2,0.03527581108729579,0.04226263929809107,5361
20481,plac30_h5,0.03997274225662197,0.039469299082042976,6768
20481,plac30_h8,0.03520851190275366,0.045806726883965525,6629
20481,plac30_h20,0.03835958623219046,0.03755641246839666,10261
20481,plac30_h23,0.0310258792409527,0.040931990838197714,4867
20482,open_1430_60,0.058492727709193684,0.049343583622555594,100002
20482,open_1430_30,0.04635628357996757,0.05133648255209924,23454
20482,plac30_h2,0.05585284052519526,0.05368680223078974,23260
20482,plac30_h5,0.05111485479613717,0.037931035004003036,5315
20482,plac30_h8,0.04290924733234537,0.03923502223581842,7572
20482,plac30_h20,0.015083663969690816,0.015148808521320613,15836
20482,plac30_h23,0.006217927589306597,0.016585042793473406,7311
20483,open_1430_60,0.022270595016888273,0.019034782618081888,77756
20483,open_1430_30,0.0014752428916886046,0.007069289473486659,44460
20483,plac30_h2,0.03965512518138916,0.03074331508955802,36215
20483,plac30_h5,0.019755777048595182,0.01013395354580371,7137
20483,plac30_h8,0.017043184943525393,0.018313084882622937,11420
20483,plac30_h20,0.018563808459606715,0.00857367419108929,35849
20483,plac30_h23,0.002652003634188816,0.012669923285857022,6390
20484,open_1430_60,0.032023791146947346,0.026748378042857374,88145
20484,open_1430_30,0.03559410009544739,0.013334852356378974,57626
20484,plac30_h2,0.006625637554000391,0.003884426862091152,8532
20484,plac30_h5,3.1043428323622603e-05,0.0004078749089406834,4111
20484,plac30_h8,0.019967875385319942,0.021626388954949446,26870
20484,plac30_h20,0.02423012316164842,0.013065427796594689,32027
20484,plac30_h23,0.020738104429851554,0.012931876969139045,20610
20485,open_1430_60,0.03837473597718963,0.04033986743981151,76108
20485,open_1430_30,0.024203327201299082,0.030734791621220704,39664
20485,plac30_h2,0.014909685044107394,0.006702076453816554,15968
20485,plac30_h5,0.01053245322749643,0.008988459245462254,10139
20485,plac30_h8,0.007542439172706376,0.0077258784018397345,12940
20485,plac30_h20,0.020202097016987865,0.011393300687733188,23788
20485,plac30_h23,0.016982645491160173,0.01573040541864221,32548
20486,open_1430_60,0.01809521863092904,0.006512113246689896,113540
20486,open_1430_30,0.03647181427006875,0.018169494873781385,62483
20486,plac30_h2,0.013442714003312557,0.014380481756176457,27918
20486,plac30_h5,0.01543913119992927,0.009422022792318201,41507
20486,plac30_h8,0.013685502156281223,0.0196578321033755,18257
20486,plac30_h20,0.0167792510234578,0.013911652407231589,14297
20486,plac30_h23,0.019663012660976167,0.01195005650281001,9375
20487,open_1430_60,0.022261079494686115,0.027066804734352135,96839
20487,open_1430_30,0.02172531214226071,0.02077812639979991,46133
20487,plac30_h2,0.018574518561094124,0.016516920041879532,16232
20487,plac30_h5,0.013729746149225258,0.004885344873858172,9341
20487,plac30_h8,0.01359346372164114,0.01779069669159837,11156
20487,plac30_h20,0.03560604484253394,0.03605762595982626,54185
20487,plac30_h23,0.01867245060911477,0.013545667365544882,12860
20488,open_1430_60,0.07089324544665412,0.03464205806331038,123189
20488,open_1430_30,0.033585972293936964,0.011831824788613705,55647
20488,plac30_h2,0.04690804079555131,0.015492872783655619,16524
20488,plac30_h5,0.04544058553161587,0.00844587610642179,9633
20488,plac30_h8,0.011725492830058554,0.014916487281165777,11357
20488,plac30_h20,0.005445252780991163,0.0040479109732753414,12160
20488,plac30_h23,0.017231292864065523,0.01884525402408917,17184
